Question                  Correct Label               Predict Label
How far is it from Denver to Aspen ?       NUM:dist       ENTY:techmeth
What county is Modesto , California in ?       LOC:city       ENTY:techmeth
Who was Galileo ?       HUM:desc       ENTY:techmeth
What is an atom ?       DESC:def       ENTY:techmeth
When did Hawaii become a state ?       NUM:date       ENTY:techmeth
How tall is the Sears Building ?       NUM:dist       ENTY:techmeth
George Bush purchased a small interest in which baseball team ?       HUM:gr       ENTY:currency
What is Australia 's national flower ?       ENTY:plant       LOC:other
Why does the moon turn orange ?       DESC:reason       ENTY:product
What is autism ?       DESC:def       ENTY:dismed
What city had a world fair in 1900 ?       LOC:city       LOC:city
What person 's head is on a dime ?       HUM:ind       NUM:dist
What is the average weight of a Yellow Labrador ?       NUM:weight       NUM:ord
Who was the first man to fly across the Pacific Ocean ?       HUM:ind       ABBR:abb
When did Idaho become a state ?       NUM:date       LOC:city
What is the life expectancy for crickets ?       NUM:other       ABBR:exp
What metal has the highest melting point ?       ENTY:substance       LOC:city
Who developed the vaccination against polio ?       HUM:ind       ENTY:techmeth
What is epilepsy ?       DESC:def       LOC:other
What year did the Titanic sink ?       NUM:date       ABBR:abb
Who was the first American to walk in space ?       HUM:ind       NUM:date
What is a biosphere ?       DESC:def       LOC:city
What river in the US is known as the Big Muddy ?       LOC:other       LOC:city
What is bipolar disorder ?       DESC:def       LOC:city
What is cholesterol ?       DESC:def       NUM:dist
Who developed the Macintosh computer ?       HUM:ind       ENTY:religion
What is caffeine ?       DESC:def       NUM:period
What imaginary line is halfway between the North and South Poles ?       LOC:other       ENTY:dismed
Where is John Wayne airport ?       LOC:other       LOC:city
What hemisphere is the Philippines in ?       LOC:other       ENTY:other
What is the average speed of the horses at the Kentucky Derby ?       NUM:speed       ENTY:product
Where are the Rocky Mountains ?       LOC:mount       NUM:other
What are invertebrates ?       DESC:def       ABBR:exp
What is the temperature at the center of the earth ?       NUM:temp       LOC:other
When did John F. Kennedy get elected as President ?       NUM:date       ENTY:instru
How old was Elvis Presley when he died ?       NUM:period       LOC:city
Where is the Orinoco River ?       LOC:other       ENTY:religion
How far is the service line from the net in tennis ?       NUM:dist       NUM:perc
How much fiber should you have per day ?       NUM:count       ABBR:abb
How many Great Lakes are there ?       NUM:count       NUM:ord
Material called linen is made from what plant ?       ENTY:plant       LOC:other
What is Teflon ?       DESC:def       ABBR:abb
What is amitriptyline ?       DESC:def       LOC:city
What is a shaman ?       DESC:def       LOC:city
What is the proper name for a female walrus ?       ENTY:animal       LOC:city
What is a group of turkeys called ?       ENTY:animal       LOC:other
How long did Rip Van Winkle sleep ?       NUM:period       LOC:other
What are triglycerides ?       DESC:def       ENTY:symbol
How many liters in a gallon ?       NUM:count       ENTY:food
What is the name of the chocolate company in San Francisco ?       HUM:gr       ENTY:product
What are amphibians ?       DESC:def       LOC:city
Who discovered x-rays ?       HUM:ind       ENTY:techmeth
Which comedian 's signature line is `` Can we talk '' ?       HUM:ind       ABBR:abb
What is fibromyalgia ?       DESC:def       ABBR:abb
What is done with worn or outdated flags ?       DESC:desc       ENTY:currency
What does cc in engines mean ?       DESC:def       ENTY:techmeth
When did Elvis Presley die ?       NUM:date       ENTY:currency
What is the capital of Yugoslavia ?       LOC:city       ENTY:food
Where is Milan ?       LOC:city       NUM:period
What is the speed hummingbirds fly ?       NUM:speed       ENTY:product
What is the oldest city in the United States ?       LOC:city       ENTY:dismed
What was W.C. Fields ' real name ?       HUM:ind       NUM:date
What river flows between Fargo , North Dakota and Moorhead , Minnesota ?       LOC:other       ENTY:sport
What do bats eat ?       ENTY:food       ENTY:lang
What state did the Battle of Bighorn take place in ?       LOC:state       ENTY:techmeth
Who was Abraham Lincoln ?       HUM:desc       ENTY:event
What do you call a newborn kangaroo ?       ENTY:termeq       ENTY:techmeth
What are spider veins ?       DESC:def       NUM:ord
What day and month did John Lennon die ?       NUM:date       LOC:other
What strait separates North America from Asia ?       LOC:other       ENTY:techmeth
